限,ゲン(限界),Limit,789
退,タイ(退学),Withdraw,790
段,(階段)ダン,Step,791
専,セン(専門),Speciality,792
故,(事故)コ,Accident,793
逆,ギャク(逆転),Reversal,794
背,せ,Stature,795
則,(原則)ソク,Rule,796
厚,あつ。い,Thick,797
城,しろ,Castle,798
香,コウ(香水),Smell,799
逃,に。げる,To Escape,800
迷,まよ。う,To Be Perplexed,801
巻,ま。く,To Wind/Roll,802
律,(旋律)リツ,Melody/Law,803
看,カン(看護),Watch Over (Nurse),804
泉,(温泉)セン,Spring,805
荒,あら。い,Rough,806
封,フウ(封印),Seal,807
砂,すな,Sand,808
柔,ジュウ(柔道),Gentle,809
怒,いか。り,Anger,810
祖,ソ(祖父),Ancestor,811
皆,み。んな,Every,812
紅,くれない,Crimson,813
郊,コウ(郊外),Outskirts,814
珍,めずら。しい,Rare,815
狭,せま。い,Narrow,816
咲,さ。く,To Bloom,817
枯,か。れる,To Wither,818
挟,はさ。む,To Interpose,819
党,(政党)トウ,Party,820
容,(内容)ヨウ,Contain,821
格,(合格)カク,Status,822
展,テン,Exhibit,823
造,ゾウ(造船),Construct,824
被,ヒ(被害),Incur (Injury),825
個,コ(個人),Individual,826
財,ざい,Assets,827
針,はり,Needle,828
値,ネ(値段),Price,829
師,(教師)し,Teacher,830
座,すわ。る,To Sit,831
破,やぶ。る,To Break,832
捜,ソウ(捜査),Search,833
除,ジョ(除外),Exclude,834
降,ふ。る,To Precipitate,835
捕,つか。まえる,To Catch,836
将,ショウ(将軍),Leader,837
般,(一般)ハン,Generally,838
途,ト(途中),Way,839
浮,う。く,To Float,840
倒,たお。す,To Bring Down,841
恐,キョウ(恐怖),Fear,842
恵,(知恵)エ,Wisdom,843
骨,ほね,Bone,844
純,ジュン(純金),Purity,845
悩,なや。み,Troubles,846
埋,う。める,To Bury,847
胸,むね,Chest,848
娘,むすめ,Daughter,849
疲,つか。れる,To Be Exhausted,850
凍,こお。る,To Freeze,851
恋,こい(恋人),In Love,852
眠,ねむ。い,Sleepy ,853
涙,なみだ,Tears,854
軒,のき(軒並み)  ケン,Houses   Ctr ,855
脂,シ,Fat,856
恥,は。ずかしい,Embarrassed ,857
畜,チク(畜生),Livestock (Beast),858
経,ケイ(経験),Sutra (Experience),859
務,(事務)ム,Duties,860
設,(建設)セツ,Establishment,861
済,(経済)サイ,Economics,862
情,(事情)ジョウ,Emotion (Circumstances),863
基,キ(基本),Foundations,864
常,(非常)ジョウ,Ordinary,865
規,キ,Standard,866
訪,ホウ(訪問),Visit,867
率,(確率)りつ,Ratio (Chances),868
確,カク(確率),Assurance,869
域,(地域)イキ,Region,870
張,(主張)チョウ,Claim,871
移,うつ。す,To Swap,872
脳,ノウ,Brain,873
接,セツ,Contact,874
授,ジュ(授業),Impart,875
採,サイ(採用),Pick,876
販,ハン(販売),Sales,877
